store_nbr,family,actual_sales,predicted_sales,mae
54,BEVERAGES,163554.0,158117.24636518137,1346.7418593051705
44,BEVERAGES,486860.0,499146.06681915576,1239.9159615599156
38,BEVERAGES,143320.0,135632.88230678622,1167.475111242399
40,BEVERAGES,222591.0,205966.40034696652,1125.9800257924128
46,GROCERY I,466643.0,484269.3106507228,1098.0715412443865
45,GROCERY I,533617.0,546623.4578585419,1041.210105514562
32,CLEANING,52737.0,50095.63694109009,1026.384134824681
47,GROCERY I,498678.0,511504.55238898756,981.7104406481158
45,BEVERAGES,456320.0,473642.43886059045,950.891432185929
40,CLEANING,103247.0,96219.96874180001,942.777718914663
48,GROCERY I,409389.0,409897.46178646176,919.8591756526641
47,BEVERAGES,428052.0,437931.2111229424,890.5275292175546
44,GROCERY I,482284.0,500445.76582062966,826.3939709863084
39,BEVERAGES,187136.0,184229.07387905638,818.2594244519056
28,GROCERY I,235921.375,228691.56881927844,791.0414791261843
43,BEVERAGES,246775.0,237669.91709219912,770.6475475992394
31,BEVERAGES,161872.0,149288.82321244694,730.9842210799441
40,GROCERY I,265274.0,258265.29808224583,712.3740304587187
11,GROCERY I,348322.979,349965.20278275287,711.9698977484279
30,CLEANING,41828.0,41366.490177315834,697.5376786005743
41,BEVERAGES,131729.0,132768.49503759906,696.7511850921722
3,BEVERAGES,405881.0,420838.15300029324,694.531234679476
39,GROCERY I,249785.926,256165.3146911787,673.6652608660725
44,PRODUCE,453304.065,467053.17987519427,659.9441498733084
52,GROCERY I,289040.0,286913.6446188127,653.8055868554934
49,GROCERY I,374859.0,393746.2619197756,648.0061863583408
49,PRODUCE,363531.173,383707.0680957114,645.5827606789297
9,GROCERY I,315831.969,321604.398167141,642.8412330400458
49,BEVERAGES,334958.0,355810.2555406373,641.278318931648
20,GROCERY I,277165.409,271451.44642314035,637.957713126516
46,BEVERAGES,306930.0,315646.55699027225,618.1933549626042
39,CLEANING,93165.0,87000.1228962486,613.0705251267761
50,GROCERY I,329056.0,337532.4645905359,607.5138531004958
48,BEVERAGES,246407.0,251482.69442756855,593.4363705527303
42,BEVERAGES,134269.0,136858.77921537613,583.4586021491937
16,CLEANING,46804.0,48181.54154228896,571.196927965258
3,PRODUCE,375028.5748,389523.65479312156,565.4457035137327
30,GROCERY I,98936.0,95838.95020489518,548.8955152530312
33,BEVERAGES,106080.0,99263.05459247956,537.1128823897232
21,CLEANING,78383.0,75754.53198002593,534.5642659000185
3,GROCERY I,377410.0,394569.5518330731,519.2028864054918
52,BEVERAGES,215998.0,213348.64188649508,508.9361477355477
14,CLEANING,62559.0,61942.62659281859,496.6803488831786
21,BEVERAGES,149778.0,142106.49627307276,493.82547398177064
36,GROCERY I,179358.934,174747.96924150197,488.46821187536426
43,GROCERY I,232077.135,230472.03610586407,483.99145124105604
11,BEVERAGES,219878.0,223226.40254812138,482.0974783857916
28,BEVERAGES,165482.0,163122.1471637922,480.96342538498726
29,GROCERY I,187236.04,184188.0042169124,479.6353992604065
51,GROCERY I,249828.0,253251.99075083778,473.137144379164
41,GROCERY I,185347.0,185786.84826257968,470.21566912628805
