date,store_nbr,family,onpromotion,predicted_sales
2017-08-16,1,AUTOMOTIVE,0,4.769784702089287
2017-08-16,1,BABY CARE,0,0.06562478174533512
2017-08-16,1,BEAUTY,2,4.330343418691165
2017-08-16,1,BEVERAGES,20,2253.9108380538046
2017-08-16,1,BOOKS,0,0.07139374505650832
2017-08-16,1,BREAD/BAKERY,12,398.6193084705245
2017-08-16,1,CELEBRATION,0,8.842435718165929
2017-08-16,1,CLEANING,25,820.4933638445463
2017-08-16,1,DAIRY,45,814.5021903657693
2017-08-16,1,DELI,18,143.3850568357231
2017-08-16,1,EGGS,1,140.83487173511068
2017-08-16,1,FROZEN FOODS,1,156.26783274398088
2017-08-16,1,GROCERY I,64,2879.2552190509487
2017-08-16,1,GROCERY II,0,17.746058183901248
2017-08-16,1,HARDWARE,0,1.4406320955356193
2017-08-16,1,HOME AND KITCHEN I,2,27.029452277319045
2017-08-16,1,HOME AND KITCHEN II,6,29.921949445515573
2017-08-16,1,HOME APPLIANCES,0,0.13419908489734647
2017-08-16,1,HOME CARE,10,237.3266062863699
2017-08-16,1,LADIESWEAR,0,13.088731703492801
2017-08-16,1,LAWN AND GARDEN,16,171.39148659246487
2017-08-16,1,LINGERIE,5,28.883357709475387
2017-08-16,1,"LIQUOR,WINE,BEER",9,88.8381787640736
2017-08-16,1,MAGAZINES,0,5.114815490400048
2017-08-16,1,MEATS,0,281.33765293662503
2017-08-16,1,PERSONAL CARE,18,182.14473820010548
2017-08-16,1,PET SUPPLIES,0,3.485492848437619
2017-08-16,1,PLAYERS AND ELECTRONICS,0,7.821561860618294
2017-08-16,1,POULTRY,0,306.6004266550518
2017-08-16,1,PREPARED FOODS,0,52.79192788300857
2017-08-16,1,PRODUCE,256,3575.177548843994
2017-08-16,1,SCHOOL AND OFFICE SUPPLIES,14,2195.0876716382877
2017-08-16,1,SEAFOOD,0,23.22976272847031
2017-08-16,2,AUTOMOTIVE,0,6.148190657715519
2017-08-16,2,BABY CARE,0,0.06562478174533512
2017-08-16,2,BEAUTY,2,7.751469975931738
2017-08-16,2,BEVERAGES,23,2564.7001259288545
2017-08-16,2,BOOKS,0,0.06562478174533512
2017-08-16,2,BREAD/BAKERY,12,614.6629892582748
2017-08-16,2,CELEBRATION,0,10.240572398584794
2017-08-16,2,CLEANING,22,806.5175697112479
2017-08-16,2,DAIRY,41,781.4648403941095
2017-08-16,2,DELI,18,205.07916757681082
2017-08-16,2,EGGS,1,153.29536927791003
2017-08-16,2,FROZEN FOODS,1,98.2641126640576
2017-08-16,2,GROCERY I,65,3536.44489551349
2017-08-16,2,GROCERY II,0,28.92175399824922
2017-08-16,2,HARDWARE,0,1.425571941563835
2017-08-16,2,HOME AND KITCHEN I,2,19.785560032821447
2017-08-16,2,HOME AND KITCHEN II,6,41.45712261941404
2017-08-16,2,HOME APPLIANCES,0,0.10786558812345409
2017-08-16,2,HOME CARE,11,241.39773249278664
2017-08-16,2,LADIESWEAR,0,18.64716735306775
